UniqueID,descriptiveLine,copyNumber,creditLine,historicalContextNote,objectHistoryNote,object,summary,productionNote,recordCreationDate,uniqueID,physicalDescription,materialsTechniques,dimensionsNote,imageResolution,contentDescription,recordModificationDate,museumNumber,aspects: item_count,images: item_count,objectNumber: item_count,collectionCode,productionType
O1507595,85,0,142,0,0,15,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507594,73,0,0,0,0,4,0,0,10,8,81,0,0,0,0,10,10,1,0,1,3,0
O1507587,160,0,0,0,0,14,167,0,10,8,800,21,0,0,0,10,10,1,0,1,3,0
O1507585,160,0,0,0,0,14,1121,0,10,8,1824,26,0,0,0,10,17,1,0,2,3,0
O1507583,145,0,0,0,0,4,0,0,10,8,41,0,0,0,0,10,11,1,0,1,3,0
O1507582,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507580,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507579,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507578,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507576,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507575,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507574,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507572,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507573,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507571,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507570,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507569,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507567,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507568,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507566,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507565,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507560,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507564,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507563,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507561,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507559,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507558,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507556,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507554,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507548,107,0,0,0,158,5,0,0,10,8,77,28,0,0,0,10,7,1,0,1,3,0
O1507553,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507551,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507549,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507545,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507543,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507541,93,0,34,0,394,7,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507499,34,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507497,36,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507486,54,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507484,36,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507482,30,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507480,34,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507477,38,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507476,53,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507475,56,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507474,64,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507464,48,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507457,33,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507451,61,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,7,1,0,1,4,0
O1507448,0,0,0,0,0,5,0,0,10,8,34,0,0,0,0,10,8,1,0,1,4,0
O1507444,21,0,0,0,0,14,0,0,10,8,0,0,0,0,0,10,8,1,0,1,4,0
O1507435,43,0,0,0,0,5,0,0,10,8,0,0,0,3,0,10,7,1,0,1,3,0
O1507431,78,0,0,0,0,6,0,0,10,8,75,13,0,0,0,10,14,1,0,1,3,0
O1507433,41,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507432,38,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507430,47,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507429,33,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507428,66,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507427,44,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507425,47,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507424,34,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507422,44,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507421,52,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507420,38,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507419,38,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507418,40,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507417,48,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507416,39,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507414,33,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507413,50,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507412,45,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507406,37,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507405,40,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507404,53,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507403,45,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507402,55,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507401,44,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507400,46,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507399,68,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507398,52,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507397,67,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507396,46,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,7,1,0,1,3,0
O1507395,42,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507394,40,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507393,43,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507392,36,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507391,36,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507390,48,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507389,79,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507388,52,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507387,53,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507386,47,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507383,41,0,142,0,0,11,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507385,51,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507384,41,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507382,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507380,47,0,142,0,0,11,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507381,49,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507379,49,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507378,47,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507377,79,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507376,44,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507375,35,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507374,45,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507372,44,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507371,50,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507369,38,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507368,40,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507367,41,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507366,47,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
O1507365,31,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,14,1,0,1,3,0
